,from,to,period,all_period_flow,female_period_flow,male_period_flow,period_year
3842,Chile,Austria,1.0,1,0.0,1.0,1998-2002
3869,Chile,Costa Rica,1.0,2,0.0,2.0,1998-2002
3811,Central African Republic,Cambodia,1.0,1,0.0,1.0,1998-2002
9078,Indonesia,Bangladesh,1.0,2,0.0,2.0,1998-2002
20626,Thailand,Taiwan,1.0,1,0.0,1.0,1998-2002
3774,Canada,United Kingdom,1.0,705,201.0,501.0,1998-2002
15997,Poland,Turkey,1.0,2,1.0,1.0,1998-2002
3770,Canada,United Arab Emirates,1.0,23,2.0,20.0,1998-2002
13363,Morocco,United States,1.0,11,2.0,9.0,1998-2002
18443,South Korea,Japan,1.0,248,43.0,179.0,1998-2002
19263,Sweden,China,1.0,74,16.0,50.0,1998-2002
3766,Canada,Ukraine,1.0,11,1.0,10.0,1998-2002
22256,United States,Canada,1.0,2904,752.0,2098.0,1998-2002
9112,Indonesia,Egypt,1.0,36,6.0,30.0,1998-2002
16003,Poland,Ukraine,1.0,29,5.0,24.0,1998-2002
9116,Indonesia,Finland,1.0,1,0.0,1.0,1998-2002
9118,Indonesia,France,1.0,4,1.0,3.0,1998-2002
3757,Canada,Turkey,1.0,29,6.0,21.0,1998-2002
13359,Morocco,United Kingdom,1.0,7,2.0,5.0,1998-2002
20622,Thailand,Switzerland,1.0,20,8.0,8.0,1998-2002
3753,Canada,Tunisia,1.0,8,0.0,8.0,1998-2002
9105,Indonesia,Cyprus,1.0,1,0.0,1.0,1998-2002
13384,Mozambique,Germany,1.0,2,0.0,2.0,1998-2002
3778,Canada,United States,1.0,4295,1091.0,3124.0,1998-2002
3782,Canada,Uruguay,1.0,1,0.0,1.0,1998-2002
15978,Poland,Spain,1.0,15,4.0,11.0,1998-2002
9082,Indonesia,Belgium,1.0,1,1.0,0.0,1998-2002
15982,Poland,Sweden,1.0,34,6.0,27.0,1998-2002
13380,Mozambique,France,1.0,1,1.0,0.0,1998-2002
22248,United States,Cambodia,1.0,1,1.0,0.0,1998-2002
3799,Canada,Zimbabwe,1.0,3,1.0,2.0,1998-2002
15986,Poland,Switzerland,1.0,35,5.0,30.0,1998-2002
3797,Canada,Zambia,1.0,1,0.0,1.0,1998-2002
9087,Indonesia,Bolivia,1.0,1,0.0,1.0,1998-2002
13378,Mozambique,China,1.0,1,0.0,1.0,1998-2002
3792,Canada,Vietnam,1.0,1,0.0,1.0,1998-2002
15990,Poland,Taiwan,1.0,20,10.0,10.0,1998-2002
19259,Sweden,Chile,1.0,10,2.0,8.0,1998-2002
9095,Indonesia,Canada,1.0,18,2.0,16.0,1998-2002
3788,Canada,Venezuela,1.0,7,3.0,4.0,1998-2002
3785,Canada,Uzbekistan,1.0,3,0.0,3.0,1998-2002
15994,Poland,Tunisia,1.0,1,0.0,1.0,1998-2002
22252,United States,Cameroon,1.0,12,4.0,8.0,1998-2002
9032,India,Tunisia,1.0,1,0.0,1.0,1998-2002
22224,United States,Botswana,1.0,4,1.0,3.0,1998-2002
3874,Chile,Cuba,1.0,3,1.0,2.0,1998-2002
8954,India,Qatar,1.0,1,0.0,1.0,1998-2002
15898,Poland,Lithuania,1.0,1,1.0,0.0,1998-2002
3962,Chile,Portugal,1.0,1,0.0,1.0,1998-2002
22195,United States,Belarus,1.0,14,2.0,12.0,1998-2002
8959,India,Romania,1.0,1,0.0,1.0,1998-2002
13444,Namibia,Australia,1.0,1,0.0,1.0,1998-2002
8962,India,Russia,1.0,12,3.0,9.0,1998-2002
3955,Chile,Peru,1.0,3,2.0,1.0,1998-2002
19234,Sweden,Botswana,1.0,1,0.0,1.0,1998-2002
22199,United States,Belgium,1.0,448,78.0,357.0,1998-2002
8968,India,Saudi Arabia,1.0,20,6.0,13.0,1998-2002
15906,Poland,Malta,1.0,1,0.0,1.0,1998-2002
15908,Poland,Mexico,1.0,6,2.0,4.0,1998-2002
3946,Chile,Nicaragua,1.0,1,0.0,1.0,1998-2002
13436,Myanmar,Russia,1.0,1,1.0,0.0,1998-2002
8973,India,Serbia,1.0,2,2.0,0.0,1998-2002
3942,Chile,New Zealand,1.0,2,0.0,2.0,1998-2002
3967,Chile,Russia,1.0,1,0.0,1.0,1998-2002
22203,United States,Belize,1.0,2,0.0,1.0,1998-2002
8950,India,Portugal,1.0,5,3.0,2.0,1998-2002
3973,Chile,Slovakia,1.0,1,0.0,1.0,1998-2002
8927,India,Pakistan,1.0,9,1.0,8.0,1998-2002
22184,United States,Bahrain,1.0,4,1.0,3.0,1998-2002
13464,Namibia,South Africa,1.0,2,0.0,2.0,1998-2002
8931,India,Palestinian Territory,1.0,2,0.0,2.0,1998-2002
3992,Chile,Tunisia,1.0,1,0.0,1.0,1998-2002
13462,Namibia,Nigeria,1.0,1,1.0,0.0,1998-2002
15887,Poland,Kenya,1.0,1,0.0,1.0,1998-2002
8937,India,Papua New Guinea,1.0,1,0.0,1.0,1998-2002
3986,Chile,Switzerland,1.0,3,0.0,3.0,1998-2002
19227,Sweden,Belize,1.0,1,0.0,1.0,1998-2002
8942,India,Philippines,1.0,14,2.0,12.0,1998-2002
3982,Chile,Sweden,1.0,7,1.0,6.0,1998-2002
22188,United States,Bangladesh,1.0,31,5.0,25.0,1998-2002
3978,Chile,Spain,1.0,45,8.0,37.0,1998-2002
13453,Namibia,Germany,1.0,1,0.0,1.0,1998-2002
8946,India,Poland,1.0,15,7.0,8.0,1998-2002
15892,Poland,Kyrgyzstan,1.0,5,2.0,3.0,1998-2002
19231,Sweden,Bosnia and Herzegovina,1.0,1,0.0,1.0,1998-2002
3938,Chile,Netherlands,1.0,4,0.0,4.0,1998-2002
8978,India,Singapore,1.0,42,2.0,35.0,1998-2002
15912,Poland,Moldova,1.0,1,0.0,0.0,1998-2002
9012,India,Switzerland,1.0,21,3.0,16.0,1998-2002
3899,Chile,Germany,1.0,25,7.0,18.0,1998-2002
18464,South Korea,Mexico,1.0,1,0.0,1.0,1998-2002
9016,India,Syria,1.0,2,0.0,2.0,1998-2002
3894,Chile,France,1.0,23,5.0,18.0,1998-2002
3890,Chile,Finland,1.0,1,0.0,1.0,1998-2002
9020,India,Taiwan,1.0,39,3.0,26.0,1998-2002
22219,United States,"Bonaire, Saint Eustatius and Saba ",1.0,1,0.0,1.0,1998-2002
22220,United States,Bosnia and Herzegovina,1.0,2,0.0,2.0,1998-2002
13412,Mozambique,Sweden,1.0,3,2.0,1.0,1998-2002
9026,India,Thailand,1.0,8,0.0,7.0,1998-2002
3881,Chile,Denmark,1.0,1,0.0,1.0,1998-2002
15939,Poland,Portugal,1.0,3,1.0,2.0,1998-2002
3878,Chile,Czechia,1.0,1,0.0,1.0,1998-2002
13408,Mozambique,Spain,1.0,2,0.0,2.0,1998-2002
15943,Poland,Qatar,1.0,1,0.0,1.0,1998-2002
15945,Poland,Romania,1.0,3,1.0,2.0,1998-2002
19243,Sweden,Bulgaria,1.0,7,3.0,4.0,1998-2002
22215,United States,Bolivia,1.0,1,0.0,1.0,1998-2002
3905,Chile,Guatemala,1.0,1,1.0,0.0,1998-2002
15928,Poland,Norway,1.0,6,2.0,4.0,1998-2002
3934,Chile,Mexico,1.0,7,0.0,7.0,1998-2002
19237,Sweden,Brazil,1.0,18,4.0,14.0,1998-2002
20666,Togo,Italy,1.0,2,0.0,2.0,1998-2002
8985,India,Slovenia,1.0,1,0.0,1.0,1998-2002
22207,United States,Benin,1.0,1,0.0,1.0,1998-2002
8989,India,South Africa,1.0,9,2.0,7.0,1998-2002
3925,Chile,Japan,1.0,3,0.0,3.0,1998-2002
15917,Poland,Netherlands,1.0,27,5.0,21.0,1998-2002
8923,India,Oman,1.0,6,1.0,5.0,1998-2002
3921,Chile,Italy,1.0,5,2.0,3.0,1998-2002
15921,Poland,New Zealand,1.0,1,1.0,0.0,1998-2002
8997,India,Spain,1.0,19,7.0,11.0,1998-2002
22211,United States,Bermuda,1.0,5,0.0,5.0,1998-2002
9001,India,Sri Lanka,1.0,2,0.0,2.0,1998-2002
20660,Togo,France,1.0,8,2.0,4.0,1998-2002
9005,India,Sudan,1.0,1,0.0,1.0,1998-2002
13422,Mozambique,United States,1.0,1,0.0,1.0,1998-2002
9008,India,Sweden,1.0,29,5.0,22.0,1998-2002
8993,India,South Korea,1.0,39,8.0,26.0,1998-2002
8741,India,Chile,1.0,1,0.0,1.0,1998-2002
13556,Nepal,Pakistan,1.0,1,0.0,1.0,1998-2002
4250,China,Philippines,1.0,7,6.0,1.0,1998-2002
19148,Sudan,South Africa,1.0,1,0.0,1.0,1998-2002
8470,Hungary,Japan,1.0,36,4.0,32.0,1998-2002
4597,Costa Rica,Mexico,1.0,3,0.0,3.0,1998-2002
20832,Tunisia,Spain,1.0,2,1.0,1.0,1998-2002
4594,Costa Rica,Italy,1.0,6,0.0,6.0,1998-2002
15595,Philippines,Bangladesh,1.0,2,0.0,2.0,1998-2002
22006,United Kingdom,Reunion,1.0,1,0.0,1.0,1998-2002
8476,Hungary,Kenya,1.0,2,2.0,0.0,1998-2002
13693,Netherlands,Egypt,1.0,7,1.0,6.0,1998-2002
8479,Hungary,Kuwait,1.0,5,3.0,2.0,1998-2002
15599,Philippines,Belarus,1.0,1,0.0,1.0,1998-2002
8483,Hungary,Latvia,1.0,1,0.0,1.0,1998-2002
4582,Costa Rica,Germany,1.0,3,0.0,3.0,1998-2002
15602,Philippines,Belgium,1.0,1,0.0,1.0,1998-2002
4578,Costa Rica,France,1.0,1,1.0,0.0,1998-2002
22010,United Kingdom,Romania,1.0,17,5.0,12.0,1998-2002
8487,Hungary,Libya,1.0,1,0.0,1.0,1998-2002
4601,Costa Rica,Netherlands,1.0,1,0.0,1.0,1998-2002
4574,Costa Rica,Denmark,1.0,1,1.0,0.0,1998-2002
8466,Hungary,Italy,1.0,21,5.0,16.0,1998-2002
15589,Philippines,Australia,1.0,14,5.0,8.0,1998-2002
4632,Croatia,Australia,1.0,1,0.0,1.0,1998-2002
15577,Peru,United States,1.0,22,5.0,17.0,1998-2002
21996,United Kingdom,Portugal,1.0,119,44.0,73.0,1998-2002
4627,Costa Rica,United States,1.0,34,11.0,22.0,1998-2002
20839,Tunisia,Switzerland,1.0,6,2.0,4.0,1998-2002
8449,Hungary,India,1.0,5,1.0,4.0,1998-2002
13703,Netherlands,Finland,1.0,33,12.0,21.0,1998-2002
4620,Costa Rica,Switzerland,1.0,1,0.0,1.0,1998-2002
8453,Hungary,Indonesia,1.0,2,0.0,2.0,1998-2002
8454,Hungary,Iran,1.0,3,1.0,2.0,1998-2002
4617,Costa Rica,Sweden,1.0,2,1.0,1.0,1998-2002
18561,South Korea,Thailand,1.0,5,3.0,2.0,1998-2002
20836,Tunisia,Sweden,1.0,1,1.0,0.0,1998-2002
4613,Costa Rica,Spain,1.0,1,0.0,1.0,1998-2002
15585,Philippines,Argentina,1.0,1,0.0,1.0,1998-2002
8458,Hungary,Ireland,1.0,5,2.0,3.0,1998-2002
22000,United Kingdom,Qatar,1.0,5,0.0,4.0,1998-2002
8462,Hungary,Israel,1.0,5,1.0,4.0,1998-2002
8443,Hungary,Greece,1.0,2,1.0,1.0,1998-2002
20825,Tunisia,Serbia,1.0,2,1.0,1.0,1998-2002
4568,Costa Rica,Cuba,1.0,1,0.0,1.0,1998-2002
4537,Colombia,United States,1.0,110,24.0,85.0,1998-2002
22021,United Kingdom,Saudi Arabia,1.0,30,4.0,26.0,1998-2002
4533,Colombia,United Kingdom,1.0,14,2.0,12.0,1998-2002
20815,Tunisia,Russia,1.0,8,4.0,4.0,1998-2002
8519,Hungary,Poland,1.0,4,1.0,3.0,1998-2002
8523,Hungary,Portugal,1.0,1,1.0,0.0,1998-2002
15628,Philippines,Denmark,1.0,1,0.0,1.0,1998-2002
19156,Sudan,Sweden,1.0,2,2.0,0.0,1998-2002
13668,Netherlands,Croatia,1.0,1,0.0,1.0,1998-2002
8529,Hungary,Romania,1.0,5,2.0,3.0,1998-2002
4521,Colombia,Switzerland,1.0,1,1.0,0.0,1998-2002
8533,Hungary,Russia,1.0,1,0.0,1.0,1998-2002
4517,Colombia,Sweden,1.0,3,0.0,3.0,1998-2002
22028,United Kingdom,Serbia,1.0,19,10.0,9.0,1998-2002
13664,Netherlands,Costa Rica,1.0,1,0.0,1.0,1998-2002
4512,Colombia,Spain,1.0,19,4.0,15.0,1998-2002
18547,South Korea,Sweden,1.0,13,2.0,9.0,1998-2002
13674,Netherlands,Curacao,1.0,2,0.0,2.0,1998-2002
13687,Netherlands,Denmark,1.0,65,10.0,55.0,1998-2002
15621,Philippines,China,1.0,11,3.0,7.0,1998-2002
18551,South Korea,Switzerland,1.0,15,0.0,15.0,1998-2002
22014,United Kingdom,Russia,1.0,93,11.0,82.0,1998-2002
18555,South Korea,Taiwan,1.0,12,1.0,9.0,1998-2002
20823,Tunisia,Senegal,1.0,2,0.0,2.0,1998-2002
4564,Costa Rica,Colombia,1.0,2,1.0,1.0,1998-2002
15609,Philippines,Benin,1.0,1,0.0,1.0,1998-2002
8498,Hungary,Netherlands,1.0,20,6.0,14.0,1998-2002
13682,Netherlands,Czechia,1.0,16,4.0,12.0,1998-2002
4558,Costa Rica,Canada,1.0,2,1.0,1.0,1998-2002
4557,Costa Rica,Cameroon,1.0,1,0.0,1.0,1998-2002
4553,Costa Rica,Brazil,1.0,2,1.0,1.0,1998-2002
13678,Netherlands,Cyprus,1.0,8,0.0,8.0,1998-2002
20819,Tunisia,Saudi Arabia,1.0,4,0.0,4.0,1998-2002
19154,Sudan,South Sudan,1.0,2,0.0,2.0,1998-2002
15616,Philippines,Canada,1.0,6,1.0,5.0,1998-2002
8508,Hungary,Norway,1.0,6,1.0,5.0,1998-2002
4547,Colombia,Zambia,1.0,2,1.0,1.0,1998-2002
4543,Colombia,Venezuela,1.0,3,1.0,2.0,1998-2002
8513,Hungary,Pakistan,1.0,3,1.0,2.0,1998-2002
13707,Netherlands,France,1.0,250,58.0,192.0,1998-2002
4636,Croatia,Austria,1.0,7,3.0,4.0,1998-2002
8439,Hungary,Germany,1.0,91,15.0,75.0,1998-2002
8364,Hungary,Argentina,1.0,4,2.0,2.0,1998-2002
4727,Croatia,Poland,1.0,2,0.0,2.0,1998-2002
8367,Hungary,Australia,1.0,9,1.0,8.0,1998-2002
21968,United Kingdom,Pakistan,1.0,34,8.0,26.0,1998-2002
13744,Netherlands,Iran,1.0,7,0.0,7.0,1998-2002
8371,Hungary,Austria,1.0,15,2.0,13.0,1998-2002
4720,Croatia,New Zealand,1.0,1,0.0,1.0,1998-2002
